"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","ALCOHOLTYPE (CODE)","ALCOHOLTYPE (DISPLAY)","ALCOHOLTYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","IRL","Ireland","","SA_SPIRITS","Spirits","","4257","4257.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","ITA","Italy","","SA_WINE","Wine","","0","0.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","LTU","Lithuania","","SA_WINE","Wine","","57.34","57.34000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","LTU","Lithuania","","SA_BEER","Beer","","3.11","3.11000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","POL","Poland","","SA_SPIRITS","Spirits","","1364.1","1364.10000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","ESP","Spain","","SA_SPIRITS","Spirits","","913.28","913.28000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","SWE","Sweden","","SA_WINE","Wine","","276.8","276.80000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","TKM","Turkmenistan","","SA_SPIRITS","Spirits","","79.43","79.43000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","SA_WINE","Wine","","351.21","351.21000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_AUT","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","AUT","Austria","","SA_TOTAL","All types","","1200","1200.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_CYP","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","CYP","Cyprus","","SA_TOTAL","All types","","957","956.82000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_CZE","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","CZE","Czechia","","SA_TOTAL","All types","","1096","1096.36000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_DEU","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","DEU","Germany","","SA_TOTAL","All types","","1303","1303.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_DNK","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","DNK","Denmark","","SA_TOTAL","All types","","8","7.52000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_ESP","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","ESP","Spain","","SA_TOTAL","All types","","959","958.94000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","SA_0000001547_EST","Data Source","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","EST","Estonia","","SA_TOTAL","All types","","8","8.30000","","","","",""
