GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001547,2010,2010,,EUR,Europe,,NLD,Netherlands,,SA_BEER,Beer,,32.6,32.6,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,NLD,Netherlands,,SA_BEER,Beer,,32.6,32.6,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,POL,Poland,,SA_SPIRITS,Spirits,,1132.03,1132.03,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,POL,Poland,,SA_BEER,Beer,,22.52,22.52,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,PRT,Portugal,,SA_SPIRITS,Spirits,,1108.94,1108.94,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,PRT,Portugal,,SA_SPIRITS,Spirits,,1109,1109,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,ROU,Romania,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,ROU,Romania,,SA_SPIRITS,Spirits,,750,750,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,SVK,Slovakia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,SVK,Slovakia,,SA_SPIRITS,Spirits,,1080,1080,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,SVN,Slovenia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,ESP,Spain,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,SWE,Sweden,,SA_BEER,Beer,,90.3,90.3,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,SWE,Sweden,,SA_WINE,Wine,,222,222,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,CHE,Switzerland,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,TUR,Türkiye,,SA_BEER,Beer,,128.74,128.74,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,BEL,Belgium,,SA_SPIRITS,Spirits,,1752.2,1752.2,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,BEL,Belgium,,SA_SPIRITS,Spirits,,1752.2,1752.2,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,DNK,Denmark,,SA_WINE,Wine,,172.7,172.7,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,DEU,Germany,,SA_BEER,Beer,,9.4,9.4,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,DEU,Germany,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,GRC,Greece,,SA_BEER,Beer,,31.2,31.2,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,LVA,Latvia,,SA_WINE,Wine,,64.64,64.64,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,MLT,Malta,,SA_BEER,Beer,,9,9,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,MLT,Malta,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,ROU,Romania,,SA_SPIRITS,Spirits,,750,750,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,ROU,Romania,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,SWE,Sweden,,SA_SPIRITS,Spirits,,5474.39,5474.39,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,BGR,Bulgaria,,SA_SPIRITS,Spirits,,562.43,562.43,,,,,
