GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001476,1990,1990,,EUR,Europe,,UKR,Ukraine,,3.7,3.7,,,,,
SA_0000001476,1999,1999,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.9,5.9,,,,,
SA_0000001476,2000,2000,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.8,5.8,,,,,
SA_0000001476,2001,2001,,AMR,Americas,,USA,United States of America,,0.9,0.9,,,,,
SA_0000001476,2002,2002,,AMR,Americas,,USA,United States of America,,0.9,0.9,,,,,
SA_0000001476,2005,2005,,AMR,Americas,,USA,United States of America,,0.9,0.9,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,BLR,Belarus,,2.6,2.6,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,DNK,Denmark,,1.7,1.7,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,EST,Estonia,,2.5,2.5,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,MKD,North Macedonia,,1.8,1.8,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,MKD,North Macedonia,,1.8,1.8,,,,,
SA_0000001476,2005,2005,,WPR,Western Pacific,,COK,Cook Islands,,1.2,1.2,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,CZE,Czechia,,1.1,1.1,,,,,
SA_0000001476,2000,2000,,EUR,Europe,,SVN,Slovenia,,1.1,1.1,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,SVN,Slovenia,,1,1,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,SWE,Sweden,,1.9,1.9,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,SWE,Sweden,,1.9,1.9,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,HUN,Hungary,,3.2,3.2,,,,,
SA_0000001476,2006,2006,,WPR,Western Pacific,,PLW,Palau,,0.9,0.9,,,,,
SA_0000001476,2012,2012,,EMR,Eastern Mediterranean,,LBN,Lebanon,,0.2,0.2,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,ROU,Romania,,4,4,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,ITA,Italy,,1.6,1.6,,,,,
SA_0000001476,2015,2015,,WPR,Western Pacific,,NZL,New Zealand,,1.7,1.7,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,EST,Estonia,,2.1,2.1,,,,,
SA_0000001476,2016,2016,,EUR,Europe,,AZE,Azerbaijan,,0.6,0.6,,,,,
SA_0000001476,2017,2017,,EUR,Europe,,AZE,Azerbaijan,,0.5,0.5,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,ARM,Armenia,,1.8,1.8,,,,,
SA_0000001476,2004,2004,,WPR,Western Pacific,,AUS,Australia,,2.6,2.6,,,,,
SA_0000001476,2000,2000,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,AZE,Azerbaijan,,1.1,1.1,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,AZE,Azerbaijan,,0.5,0.5,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,BLR,Belarus,,2.2,2.2,,,,,
SA_0000001476,1990,1990,,AMR,Americas,,CAN,Canada,,2.3,2.3,,,,,
SA_0000001476,1997,1997,,AMR,Americas,,CAN,Canada,,2,2,,,,,
SA_0000001476,2008,2008,,AMR,Americas,,CAN,Canada,,2,2,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,HRV,Croatia,,1.6,1.6,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,DNK,Denmark,,2.4,2.4,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,DNK,Denmark,,2.3,2.3,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,DNK,Denmark,,1.7,1.7,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,EST,Estonia,,1.9,1.9,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,EST,Estonia,,1.9,1.9,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,FIN,Finland,,6.5,6.5,,,,,
SA_0000001476,2003,2003,,EUR,Europe,,FIN,Finland,,5.4,5.4,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,GEO,Georgia,,1.3,1.3,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,GRC,Greece,,1,1,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,HUN,Hungary,,1.1,1.1,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,ISL,Iceland,,3.2,3.2,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,ISL,Iceland,,2.9,2.9,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,ITA,Italy,,0.8,0.8,,,,,
SA_0000001476,2002,2002,,EUR,Europe,,ITA,Italy,,0.8,0.8,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,ITA,Italy,,0.7,0.7,,,,,
SA_0000001476,1999,1999,,WPR,Western Pacific,,JPN,Japan,,1.2,1.2,,,,,
SA_0000001476,2006,2006,,WPR,Western Pacific,,JPN,Japan,,1.1,1.1,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,KAZ,Kazakhstan,,3.4,3.4,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,LTU,Lithuania,,3.4,3.4,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,ARM,Armenia,,4,4,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,MDA,Republic of Moldova,,2.2,2.2,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,NOR,Norway,,4.1,4.1,,,,,
SA_0000001476,2002,2002,,EUR,Europe,,NOR,Norway,,3.5,3.5,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,RUS,Russian Federation,,4,4,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,SWE,Sweden,,3.1,3.1,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,SWE,Sweden,,2.8,2.8,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,TJK,Tajikistan,,2.2,2.2,,,,,
SA_0000001476,1992,1992,,SEAR,South-East Asia,,THA,Thailand,,2.5,2.5,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,UKR,Ukraine,,1.6,1.6,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,6.2,6.2,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.7,5.7,,,,,
SA_0000001476,2000,2000,,AMR,Americas,,USA,United States of America,,1,1,,,,,
SA_0000001476,2007,2007,,AMR,Americas,,USA,United States of America,,0.9,0.9,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,UZB,Uzbekistan,,2.5,2.5,,,,,
SA_0000001476,1999,1999,,EUR,Europe,,ARM,Armenia,,1.9,1.9,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,AZE,Azerbaijan,,0.5,0.5,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,BLR,Belarus,,2.5,2.5,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,DNK,Denmark,,1.8,1.8,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,FIN,Finland,,4.2,4.2,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,NOR,Norway,,2.2,2.2,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,MKD,North Macedonia,,1.7,1.7,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,UKR,Ukraine,,1.5,1.5,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,CZE,Czechia,,1.2,1.2,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,NLD,Netherlands,,0.8,0.8,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,SVN,Slovenia,,1,1,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,HUN,Hungary,,3.1,3.1,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,NOR,Norway,,2.2,2.2,,,,,
SA_0000001476,2005,2005,,EMR,Eastern Mediterranean,,LBN,Lebanon,,0.1,0.1,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,ROU,Romania,,4,4,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,ROU,Romania,,4,4,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,ARM,Armenia,,1.3,1.3,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,IRL,Ireland,,2.5,2.5,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,UKR,Ukraine,,1.3,1.3,,,,,
SA_0000001476,2016,2016,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,FIN,Finland,,4.3,4.3,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,EST,Estonia,,2.2,2.2,,,,,
SA_0000001476,1999,1999,,WPR,Western Pacific,,AUS,Australia,,2.9,2.9,,,,,
SA_0000001476,2010,2010,,WPR,Western Pacific,,AUS,Australia,,2.6,2.6,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,2003,2003,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,BLR,Belarus,,7.4,7.4,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,BLR,Belarus,,5.4,5.4,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,BLR,Belarus,,2.3,2.3,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,BLR,Belarus,,2.2,2.2,,,,,
SA_0000001476,2007,2007,,AMR,Americas,,CAN,Canada,,2,2,,,,,
SA_0000001476,2009,2009,,AMR,Americas,,CAN,Canada,,2.1,2.1,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,HRV,Croatia,,1.6,1.6,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,HRV,Croatia,,1.6,1.6,,,,,
SA_0000001476,1997,1997,,EUR,Europe,,EST,Estonia,,1.9,1.9,,,,,
SA_0000001476,1999,1999,,EUR,Europe,,EST,Estonia,,2,2,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,EST,Estonia,,1.9,1.9,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,FIN,Finland,,4.5,4.5,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,FRA,France,,1.4,1.4,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,GRC,Greece,,1,1,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,GRC,Greece,,1,1,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,ISL,Iceland,,3,3,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,ISL,Iceland,,2.8,2.8,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,ITA,Italy,,0.7,0.7,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,ITA,Italy,,0.7,0.7,,,,,
SA_0000001476,1991,1991,,WPR,Western Pacific,,JPN,Japan,,1.3,1.3,,,,,
SA_0000001476,1996,1996,,WPR,Western Pacific,,JPN,Japan,,1.2,1.2,,,,,
SA_0000001476,1998,1998,,WPR,Western Pacific,,JPN,Japan,,1.1,1.1,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,LVA,Latvia,,2,2,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,LTU,Lithuania,,2,2,,,,,
SA_0000001476,2008,2008,,AMR,Americas,,MEX,Mexico,,1.9,1.9,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,ARM,Armenia,,2.8,2.8,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,ALB,Albania,,2.1,2.1,,,,,
SA_0000001476,2010,2010,,AMR,Americas,,MEX,Mexico,,1.9,1.9,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,NOR,Norway,,3.9,3.9,,,,,
SA_0000001476,2003,2003,,EUR,Europe,,NOR,Norway,,3.2,3.2,,,,,
SA_0000001476,1990,1990,,WPR,Western Pacific,,PLW,Palau,,5.4,5.4,,,,,
SA_0000001476,2000,2000,,EUR,Europe,,RUS,Russian Federation,,2.5,2.5,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,TJK,Tajikistan,,1.8,1.8,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,TJK,Tajikistan,,2,2,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,TJK,Tajikistan,,0.1,0.1,,,,,
SA_0000001476,2007,2007,,SEAR,South-East Asia,,THA,Thailand,,1.6,1.6,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,6.2,6.2,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,6,6,,,,,
SA_0000001476,2002,2002,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.8,5.8,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.5,5.5,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,UZB,Uzbekistan,,1.9,1.9,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,ARM,Armenia,,1.4,1.4,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,DNK,Denmark,,1.7,1.7,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,NOR,Norway,,2.1,2.1,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,CZE,Czechia,,1.2,1.2,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,SVN,Slovenia,,1.1,1.1,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,SWE,Sweden,,1.9,1.9,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,NOR,Norway,,2.2,2.2,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,SWE,Sweden,,1.9,1.9,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,DNK,Denmark,,1.7,1.7,,,,,
SA_0000001476,2015,2015,,AFR,Africa,,ZAF,South Africa,,0.5,0.5,,,,,
SA_0000001476,2016,2016,,EUR,Europe,,ALB,Albania,,1.3,1.3,,,,,
SA_0000001476,2012,2012,,AMR,Americas,,CAN,Canada,,1.1,1.1,,,,,
SA_0000001476,2013,2013,,AMR,Americas,,CAN,Canada,,1.2,1.2,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,ARM,Armenia,,1.5,1.5,,,,,
SA_0000001476,1993,1993,,WPR,Western Pacific,,AUS,Australia,,2.9,2.9,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,AUT,Austria,,1.3,1.3,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,ARM,Armenia,,1.7,1.7,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,ARM,Armenia,,3.4,3.4,,,,,
SA_0000001476,2007,2007,,SEAR,South-East Asia,,BTN,Bhutan,,3.8,3.8,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,KGZ,Kyrgyzstan,,2.7,2.7,,,,,
SA_0000001476,2012,2012,,AMR,Americas,,MEX,Mexico,,1.9,1.9,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,MDA,Republic of Moldova,,2.5,2.5,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,BLR,Belarus,,2.6,2.6,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,AZE,Azerbaijan,,0.5,0.5,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,AZE,Azerbaijan,,0.6,0.6,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,POL,Poland,,6.8,6.8,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,RUS,Russian Federation,,2.9,2.9,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,1993,1993,,AFR,Africa,,SYC,Seychelles,,22,22,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,SWE,Sweden,,2.9,2.9,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,UKR,Ukraine,,1.5,1.5,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,6.5,6.5,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.2,5.2,,,,,
SA_0000001476,1990,1990,,AMR,Americas,,USA,United States of America,,0.9,0.9,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,UZB,Uzbekistan,,3.2,3.2,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,UZB,Uzbekistan,,2.9,2.9,,,,,
SA_0000001476,2000,2000,,WPR,Western Pacific,,JPN,Japan,,1.2,1.2,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,ITA,Italy,,0.8,0.8,,,,,
SA_0000001476,2014,2014,,EUR,Europe,,HRV,Croatia,,1.3,1.3,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,ITA,Italy,,0.8,0.8,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,ITA,Italy,,1.1,1.1,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,TJK,Tajikistan,,0.1,0.1,,,,,
SA_0000001476,2002,2002,,EUR,Europe,,ISL,Iceland,,3.7,3.7,,,,,
SA_0000001476,2000,2000,,EUR,Europe,,ISL,Iceland,,3.3,3.3,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,SVN,Slovenia,,1,1,,,,,
