GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001554,2016,2016,,EUR,Europe,,TUR,Türkiye,,Total ban,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,MMR,Myanmar,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,JPN,Japan,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,MNG,Mongolia,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,BFA,Burkina Faso,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,COM,Comoros,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,ERI,Eritrea,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,GNB,Guinea-Bissau,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,NER,Niger,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,UGA,Uganda,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,CAN,Canada,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,DOM,Dominican Republic,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,PAN,Panama,,Yes,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,Total ban,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,JOR,Jordan,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,OMN,Oman,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,BIH,Bosnia and Herzegovina,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,GRC,Greece,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,KAZ,Kazakhstan,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,MLT,Malta,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,PRT,Portugal,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,TJK,Tajikistan,,Yes,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,IDN,Indonesia,,No,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,TLS,Timor-Leste,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,MHL,Marshall Islands,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,SGP,Singapore,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,BEN,Benin,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,BDI,Burundi,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,LBR,Liberia,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,MLI,Mali,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,MOZ,Mozambique,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,CHL,Chile,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,CUB,Cuba,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,SUR,Suriname,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,URY,Uruguay,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,BHR,Bahrain,,Total ban,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,YEM,Yemen,,Total ban,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ARM,Armenia,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,BLR,Belarus,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,NOR,Norway,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,LTU,Lithuania,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,MCO,Monaco,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,UZB,Uzbekistan,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,KOR,Republic of Korea,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,MRT,Mauritania,,No data,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,TUN,Tunisia,,No data,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,VEN,Venezuela (Bolivarian Republic of),,No data,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,BGD,Bangladesh,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,FSM,Micronesia (Federated States of),,No data,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,KGZ,Kyrgyzstan,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,PNG,Papua New Guinea,,No data,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,KWT,Kuwait,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,SLB,Solomon Islands,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,NIU,Niue,,No data,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,HTI,Haiti,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,FJI,Fiji,,No data,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,SAU,Saudi Arabia,,No data,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,NPL,Nepal,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,TUV,Tuvalu,,No data,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,QAT,Qatar,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,BRN,Brunei Darussalam,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,TON,Tonga,,No data,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,BHS,Bahamas,,No data,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,No data,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,PRK,Democratic People's Republic of Korea,,No data,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,MDV,Maldives,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,NRU,Nauru,,No data,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,PLW,Palau,,No data,,,,,,
