GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),BACGROUP (CODE),BACGROUP (DISPLAY),BACGROUP (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001520,2016,2016,,EUR,Europe,,AUT,Austria,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.01%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,AZE,Azerbaijan,,SA_GENERAL_POPULATION,General population,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,USA,United States of America,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,sub-national,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,DOM,Dominican Republic,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,BWA,Botswana,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,BWA,Botswana,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,TCD,Chad,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,TCD,Chad,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GNQ,Equatorial Guinea,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ERI,Eritrea,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GIN,Guinea,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GIN,Guinea,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MWI,Malawi,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MWI,Malawi,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,NAM,Namibia,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,NER,Niger,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,NER,Niger,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,SEN,Senegal,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,SYC,Seychelles,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,TGO,Togo,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,UGA,Uganda,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,ARG,Argentina,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.0005,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BHS,Bahamas,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BRA,Brazil,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BRA,Brazil,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,DMA,Dominica,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,DMA,Dominica,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,GUY,Guyana,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,GUY,Guyana,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,NIC,Nicaragua,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,NIC,Nicaragua,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,PAN,Panama,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,VCT,Saint Vincent and the Grenadines,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,VCT,Saint Vincent and the Grenadines,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,none,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,SA_GENERAL_POPULATION,General population,,total ban,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,IRQ,Iraq,,SA_GENERAL_POPULATION,General population,,0.04%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,JOR,Jordan,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,MAR,Morocco,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,OMN,Oman,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SDN,Sudan,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ALB,Albania,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.01%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,AND,Andorra,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,BEL,Belgium,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,BEL,Belgium,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,DNK,Denmark,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,DNK,Denmark,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,DEU,Germany,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,GRC,Greece,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ITA,Italy,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ITA,Italy,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MLT,Malta,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MLT,Malta,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,POL,Poland,,SA_GENERAL_POPULATION,General population,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,PRT,Portugal,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,SMR,San Marino,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,SRB,Serbia,,SA_GENERAL_POPULATION,General population,,0.03%,,,,,,
